"sample" "observation" "time" "diphtong" "speaker" "T1" "T2" "T3" "T4" "T2/T1" "T_AVG"
"53" 3 53 652.5 "aI" "M" 629 1253 2417 3424 1.99205087440382 1930.75
"54" 3 54 657.5 "aI" "M" 651 1286 2422 3437 1.97542242703533 1949
"55" 3 55 662.5 "aI" "M" 657 1299 2422 3435 1.97716894977169 1953.25
"56" 3 56 667.5 "aI" "M" 653 1311 2422 3448 2.00765696784073 1958.5
"57" 3 57 672.5 "aI" "M" 643 1328 2427 3537 2.06531881804044 1983.75
"58" 3 58 677.5 "aI" "M" 645 1350 2434 3595 2.09302325581395 2006
"59" 3 59 682.5 "aI" "M" 649 1403 2441 3619 2.1617873651772 2028
"60" 3 60 687.5 "aI" "M" 652 1447 2451 3642 2.21932515337423 2048
"61" 3 61 692.5 "aI" "M" 624 1489 2463 3603 2.38621794871795 2044.75
"62" 3 62 697.5 "aI" "M" 621 1527 2470 3534 2.45893719806763 2038
"63" 3 63 702.5 "aI" "M" 623 1549 2475 3445 2.48635634028892 2023
"64" 3 64 707.5 "aI" "M" 604 1566 2478 3366 2.59271523178808 2003.5
"65" 3 65 712.5 "aI" "M" 574 1591 2483 3329 2.77177700348432 1994.25
"66" 3 66 717.5 "aI" "M" 540 1641 2498 3378 3.03888888888889 2014.25
"67" 3 67 722.5 "aI" "M" 507 1682 2525 3470 3.31755424063116 2046
"68" 3 68 727.5 "aI" "M" 471 1713 2531 3515 3.63694267515924 2057.5
"69" 3 69 732.5 "aI" "M" 430 1768 2538 3722 4.11162790697674 2114.5
"70" 3 70 737.5 "aI" "M" 386 1789 2545 3913 4.63471502590674 2158.25
"71" 3 71 742.5 "aI" "M" 319 1770 2532 4025 5.54858934169279 2161.5
"72" 3 72 747.5 "aI" "M" 300 1723 2516 3828 5.74333333333333 2091.75
"73" 3 73 752.5 "aI" "M" 227 1666 2554 3766 7.33920704845815 2053.25
"74" 4 74 1132.5 "aU" "M" 456 1359 2283 3440 2.98026315789474 1884.5
"75" 4 75 1137.5 "aU" "M" 484 1372 2359 3467 2.83471074380165 1920.5
"76" 4 76 1142.5 "aU" "M" 520 1360 2401 3426 2.61538461538462 1926.75
"77" 4 77 1147.5 "aU" "M" 548 1334 2516 3406 2.43430656934307 1951
"78" 4 78 1152.5 "aU" "M" 573 1315 2566 3386 2.29493891797557 1960
"79" 4 79 1157.5 "aU" "M" 591 1276 2586 3365 2.1590524534687 1954.5
"80" 4 80 1162.5 "aU" "M" 589 1211 2610 3353 2.05602716468591 1940.75
"81" 4 81 1167.5 "aU" "M" 595 1180 2599 3334 1.98319327731092 1927
"82" 4 82 1172.5 "aU" "M" 601 1149 2579 3310 1.91181364392679 1909.75
"83" 4 83 1177.5 "aU" "M" 597 1108 2592 3292 1.85594639865997 1897.25
"84" 4 84 1182.5 "aU" "M" 590 1083 2619 3280 1.83559322033898 1893
"85" 4 85 1187.5 "aU" "M" 584 1070 2651 3275 1.83219178082192 1895
"86" 4 86 1192.5 "aU" "M" 577 1060 2678 3274 1.8370883882149 1897.25
"87" 4 87 1197.5 "aU" "M" 573 1054 2719 3267 1.83944153577661 1903.25
"88" 4 88 1202.5 "aU" "M" 568 1037 2738 3254 1.82570422535211 1899.25
"89" 4 89 1207.5 "aU" "M" 553 1000 2753 3243 1.80831826401447 1887.25
"90" 4 90 1212.5 "aU" "M" 529 967 2744 3227 1.82797731568998 1866.75
"91" 4 91 1217.5 "aU" "M" 509 946 2753 3206 1.85854616895874 1853.5
"92" 4 92 1222.5 "aU" "M" 494 933 2732 3188 1.88866396761134 1836.75
"93" 4 93 1227.5 "aU" "M" 479 918 2718 3171 1.91649269311065 1821.5
"94" 4 94 1232.5 "aU" "M" 462 900 2699 3158 1.94805194805195 1804.75
"95" 4 95 1237.5 "aU" "M" 443 883 2693 3153 1.99322799097065 1793
"96" 4 96 1242.5 "aU" "M" 422 879 2688 3136 2.08293838862559 1781.25
"97" 4 97 1247.5 "aU" "M" 394 891 2674 3092 2.26142131979695 1762.75
"98" 5 98 1462.5 "aI" "M" 357 1416 2205 3531 3.96638655462185 1877.25
"99" 5 99 1467.5 "aI" "M" 471 1417 2255 3493 3.00849256900212 1909
"100" 5 100 1472.5 "aI" "M" 508 1407 2263 3422 2.76968503937008 1900
"101" 5 101 1477.5 "aI" "M" 515 1396 2348 3381 2.71067961165049 1910
"102" 5 102 1482.5 "aI" "M" 549 1367 2438 3372 2.48998178506375 1931.5
"103" 5 103 1487.5 "aI" "M" 577 1324 2518 3367 2.2946273830156 1946.5
"104" 5 104 1492.5 "aI" "M" 605 1319 2500 3357 2.1801652892562 1945.25
"105" 5 105 1497.5 "aI" "M" 621 1307 2454 3292 2.10466988727858 1918.5
"106" 5 106 1502.5 "aI" "M" 627 1292 2449 3276 2.06060606060606 1911
"107" 5 107 1507.5 "aI" "M" 633 1274 2431 3286 2.01263823064771 1906
"108" 5 108 1512.5 "aI" "M" 635 1266 2416 3294 1.99370078740157 1902.75
"109" 5 109 1517.5 "aI" "M" 639 1264 2402 2684 1.97809076682316 1747.25
"110" 5 110 1522.5 "aI" "M" 637 1265 2452 3302 1.98587127158556 1914
"111" 5 111 1527.5 "aI" "M" 638 1269 2453 3310 1.98902821316614 1917.5
"112" 5 112 1532.5 "aI" "M" 635 1275 2410 3338 2.00787401574803 1914.5
"113" 5 113 1537.5 "aI" "M" 633 1294 2388 3356 2.04423380726698 1917.75
"114" 5 114 1542.5 "aI" "M" 629 1315 2372 3111 2.0906200317965 1856.75
"115" 5 115 1547.5 "aI" "M" 619 1332 2380 3394 2.15185783521809 1931.25
"116" 5 116 1552.5 "aI" "M" 617 1350 2375 3370 2.18800648298217 1928
"117" 5 117 1557.5 "aI" "M" 615 1374 2359 3387 2.23414634146341 1933.75
"118" 5 118 1562.5 "aI" "M" 609 1405 2342 3391 2.30706075533662 1936.75
"119" 5 119 1567.5 "aI" "M" 600 1428 2320 3323 2.38 1917.75
"120" 5 120 1572.5 "aI" "M" 590 1462 2304 3261 2.47796610169492 1904.25
"121" 5 121 1577.5 "aI" "M" 579 1490 2290 3207 2.573402417962 1891.5
"122" 5 122 1582.5 "aI" "M" 569 1523 2285 3203 2.67662565905097 1895
"123" 5 123 1587.5 "aI" "M" 552 1555 2283 3412 2.81702898550725 1950.5
"124" 5 124 1592.5 "aI" "M" 537 1581 2265 3318 2.94413407821229 1925.25
"125" 5 125 1597.5 "aI" "M" 506 1614 2258 3299 3.1897233201581 1919.25
"126" 5 126 1602.5 "aI" "M" 490 1659 2250 3262 3.38571428571429 1915.25
"127" 5 127 1607.5 "aI" "M" 483 1707 2257 3231 3.53416149068323 1919.5
"128" 5 128 1612.5 "aI" "M" 469 1744 2273 3254 3.71855010660981 1935
"129" 5 129 1617.5 "aI" "M" 431 1764 2282 3327 4.09280742459397 1951
"130" 5 130 1622.5 "aI" "M" 398 1773 2353 3389 4.45477386934673 1978.25
"131" 5 131 1627.5 "aI" "M" 362 1793 2431 3468 4.95303867403315 2013.5
"132" 5 132 1632.5 "aI" "M" 353 1785 2454 3457 5.05665722379603 2012.25
"133" 5 133 1637.5 "aI" "M" 327 1710 2412 3449 5.22935779816514 1974.5
"134" 5 134 1642.5 "aI" "M" 248 1686 2433 3441 6.79838709677419 1952
"135" 5 135 1647.5 "aI" "M" 221 1778 2537 3445 8.04524886877828 1995.25
"136" 6 136 622.5 "aI" "M" 580 1431 2478 3410 2.46724137931034 1974.75
"137" 6 137 627.5 "aI" "M" 600 1440 2487 3221 2.4 1937
"138" 6 138 632.5 "aI" "M" 660 1442 2521 3277 2.18484848484849 1975
"139" 6 139 637.5 "aI" "M" 680 1439 2565 3369 2.11617647058824 2013.25
"140" 6 140 642.5 "aI" "M" 680 1432 2582 3396 2.10588235294118 2022.5
"141" 6 141 647.5 "aI" "M" 680 1430 2557 3376 2.10294117647059 2010.75
"142" 6 142 652.5 "aI" "M" 680 1451 2421 3294 2.13382352941176 1961.5
"143" 6 143 657.5 "aI" "M" 660 1454 2347 3273 2.2030303030303 1933.5
"144" 6 144 662.5 "aI" "M" 660 1483 2324 3277 2.2469696969697 1936
"145" 6 145 667.5 "aI" "M" 640 1503 2303 3280 2.3484375 1931.5
"146" 6 146 672.5 "aI" "M" 620 1521 2302 3296 2.45322580645161 1934.75
"147" 6 147 677.5 "aI" "M" 620 1545 2312 3277 2.49193548387097 1938.5
"148" 6 148 682.5 "aI" "M" 620 1509 2260 3166 2.43387096774194 1888.75
"149" 6 149 687.5 "aI" "M" 600 1528 2230 3151 2.54666666666667 1877.25
"150" 6 150 692.5 "aI" "M" 600 1617 2315 3336 2.695 1967
"151" 6 151 697.5 "aI" "M" 600 1551 2286 3302 2.585 1934.75
"152" 6 152 702.5 "aI" "M" 600 1553 2335 3337 2.58833333333333 1956.25
"153" 6 153 707.5 "aI" "M" 639 1602 2371 3354 2.50704225352113 1991.5
"154" 6 154 712.5 "aI" "M" 636 1602 2343 3493 2.5188679245283 2018.5
"155" 6 155 717.5 "aI" "M" 616 1652 2336 3562 2.68181818181818 2041.5
"156" 6 156 722.5 "aI" "M" 565 1721 2353 3218 3.04601769911504 1964.25
"157" 6 157 727.5 "aI" "M" 523 1764 2352 3191 3.37284894837476 1957.5
"158" 6 158 732.5 "aI" "M" 533 1746 2293 3197 3.27579737335835 1942.25
"159" 6 159 737.5 "aI" "M" 568 1879 3145 3930 3.3080985915493 2380.5
"160" 6 160 742.5 "aI" "M" 490 1730 2236 3191 3.53061224489796 1911.75
"161" 6 161 747.5 "aI" "M" 407 1842 2390 3252 4.52579852579853 1972.75
"162" 6 162 752.5 "aI" "M" 371 1837 2366 2744 4.95148247978437 1829.5
"163" 6 163 757.5 "aI" "M" 361 1831 2376 2826 5.07202216066482 1848.5
"164" 6 164 762.5 "aI" "M" 354 1820 2382 2873 5.14124293785311 1857.25
"165" 6 165 767.5 "aI" "M" 348 1828 2391 3006 5.25287356321839 1893.25
"166" 7 166 1542.5 "aU" "M" 560 1062 2847 3423 1.89642857142857 1973
"167" 7 167 1547.5 "aU" "M" 560 1080 2825 3432 1.92857142857143 1974.25
"168" 7 168 1552.5 "aU" "M" 560 1061 2832 3415 1.89464285714286 1967
"169" 7 169 1557.5 "aU" "M" 560 1003 2855 3374 1.79107142857143 1948
"170" 7 170 1562.5 "aU" "M" 560 969 2866 3388 1.73035714285714 1945.75
"171" 7 171 1567.5 "aU" "M" 540 956 2864 3394 1.77037037037037 1938.5
"172" 7 172 1572.5 "aU" "M" 540 946 2859 3412 1.75185185185185 1939.25
"173" 7 173 1577.5 "aU" "M" 543 932 2846 3414 1.71639042357274 1933.75
"174" 7 174 1582.5 "aU" "M" 541 917 2838 3405 1.69500924214418 1925.25
"175" 7 175 1587.5 "aU" "M" 541 902 2822 3395 1.66728280961183 1915
"176" 7 176 1592.5 "aU" "M" 539 893 2794 3200 1.65677179962894 1856.5
"177" 7 177 1597.5 "aU" "M" 534 883 2770 3206 1.65355805243446 1848.25
"178" 7 178 1602.5 "aU" "M" 528 878 2752 3217 1.66287878787879 1843.75
"179" 7 179 1607.5 "aU" "M" 523 876 2736 3220 1.67495219885277 1838.75
"180" 7 180 1612.5 "aU" "M" 520 877 2718 3208 1.68653846153846 1830.75
"181" 7 181 1617.5 "aU" "M" 517 884 2740 3209 1.70986460348162 1837.5
"182" 7 182 1622.5 "aU" "M" 513 894 2720 3210 1.74269005847953 1834.25
"183" 7 183 1627.5 "aU" "M" 507 904 2700 3214 1.78303747534517 1831.25
"184" 7 184 1632.5 "aU" "M" 500 916 2680 3223 1.832 1829.75
"185" 7 185 1637.5 "aU" "M" 493 931 2660 3263 1.88843813387424 1836.75
"186" 7 186 1642.5 "aU" "M" 486 948 2660 3243 1.95061728395062 1834.25
"187" 7 187 1647.5 "aU" "M" 420 962 2660 3235 2.29047619047619 1819.25
"188" 7 188 1652.5 "aU" "M" 420 972 2660 3451 2.31428571428571 1875.75
"189" 7 189 1657.5 "aU" "M" 420 985 2660 3462 2.3452380952381 1881.75
"190" 7 190 1662.5 "aU" "M" 400 1004 2660 3480 2.51 1886
"191" 7 191 1667.5 "aU" "M" 400 1070 2660 3558 2.675 1922
"192" 7 192 1672.5 "aU" "M" 380 1139 2660 3599 2.99736842105263 1944.5
"193" 7 193 1677.5 "aU" "M" 360 1134 2620 3444 3.15 1889.5
"194" 7 194 1682.5 "aU" "M" 320 1178 2600 3528 3.68125 1906.5
"195" 8 195 1917.5 "OY" "M" 581 1061 2511 3329 1.82616179001721 1870.5
"196" 8 196 1922.5 "OY" "M" 613 1088 2480 3179 1.77487765089723 1840
"197" 8 197 1927.5 "OY" "M" 584 1097 2472 3194 1.87842465753425 1836.75
"198" 8 198 1932.5 "OY" "M" 581 1114 2474 3222 1.91738382099828 1847.75
"199" 8 199 1937.5 "OY" "M" 593 1143 2482 3237 1.92748735244519 1863.75
"200" 8 200 1942.5 "OY" "M" 606 1175 2478 3241 1.93894389438944 1875
"201" 8 201 1947.5 "OY" "M" 602 1224 2412 3234 2.03322259136213 1868
"202" 8 202 1952.5 "OY" "M" 614 1274 2371 3041 2.07491856677524 1825
"203" 8 203 1957.5 "OY" "M" 613 1305 2365 3088 2.12887438825449 1842.75
"204" 8 204 1962.5 "OY" "M" 597 1325 2377 3175 2.21943048576214 1868.5
"205" 8 205 1967.5 "OY" "M" 573 1367 2401 3175 2.38568935427574 1879
"206" 8 206 1972.5 "OY" "M" 550 1487 2354 3186 2.70363636363636 1894.25
"207" 8 207 1977.5 "OY" "M" 535 1527 2320 3217 2.85420560747664 1899.75
"208" 8 208 1982.5 "OY" "M" 516 1550 2328 3221 3.00387596899225 1903.75
"209" 8 209 1987.5 "OY" "M" 516 1578 2377 3185 3.05813953488372 1914
"210" 8 210 1992.5 "OY" "M" 516 1617 2378 3149 3.13372093023256 1915
"211" 8 211 1997.5 "OY" "M" 512 1639 2348 3146 3.201171875 1911.25
"212" 8 212 2002.5 "OY" "M" 497 1695 2321 3039 3.41046277665996 1888
"213" 8 213 2007.5 "OY" "M" 502 1696 2310 3042 3.37848605577689 1887.5
"214" 9 214 1022.5 "OY" "M" 635 1021 2694 3298 1.60787401574803 1912
"215" 9 215 1027.5 "OY" "M" 629 1041 2635 3252 1.6550079491256 1889.25
"216" 9 216 1032.5 "OY" "M" 614 1059 2576 3209 1.72475570032573 1864.5
"217" 9 217 1037.5 "OY" "M" 603 1061 2561 3203 1.75953565505804 1857
"218" 9 218 1042.5 "OY" "M" 608 1074 2552 3203 1.76644736842105 1859.25
"219" 9 219 1047.5 "OY" "M" 613 1090 2537 3212 1.77814029363785 1863
"220" 9 220 1052.5 "OY" "M" 618 1109 2521 3211 1.79449838187702 1864.75
"221" 9 221 1057.5 "OY" "M" 620 1129 2506 3225 1.82096774193548 1870
"222" 9 222 1062.5 "OY" "M" 620 1149 2492 3242 1.85322580645161 1875.75
"223" 9 223 1067.5 "OY" "M" 617 1180 2448 3252 1.91247974068071 1874.25
"224" 9 224 1072.5 "OY" "M" 609 1220 2426 3256 2.00328407224959 1877.75
"225" 9 225 1077.5 "OY" "M" 594 1295 2395 3255 2.18013468013468 1884.75
"226" 9 226 1082.5 "OY" "M" 560 1356 2371 3266 2.42142857142857 1888.25
"227" 9 227 1087.5 "OY" "M" 533 1414 2346 3287 2.65290806754221 1895
"228" 9 228 1092.5 "OY" "M" 527 1503 2328 3297 2.85199240986717 1913.75
"229" 9 229 1097.5 "OY" "M" 520 1560 2317 3302 3 1924.75
"230" 9 230 1102.5 "OY" "M" 495 1590 2300 3278 3.21212121212121 1915.75
"231" 9 231 1107.5 "OY" "M" 458 1622 2261 3267 3.54148471615721 1902
"232" 9 232 1112.5 "OY" "M" 428 1711 2233 3303 3.99766355140187 1918.75
"233" 9 233 1117.5 "OY" "M" 408 1807 2286 3327 4.42892156862745 1957
"234" 9 234 1122.5 "OY" "M" 380 1824 2344 3331 4.8 1969.75
"235" 9 235 1127.5 "OY" "M" 355 1834 2387 3356 5.16619718309859 1983
"236" 9 236 1132.5 "OY" "M" 325 1846 2412 3424 5.68 2001.75
"237" 9 237 1137.5 "OY" "M" 267 1856 2468 3558 6.95131086142322 2037.25
"238" 10 238 2207.5 "aI" "M" 807 1328 2422 3485 1.6456009913259 2010.5
"239" 10 239 2212.5 "aI" "M" 766 1302 2455 3471 1.69973890339426 1998.5
"240" 10 240 2217.5 "aI" "M" 754 1311 2432 3428 1.73872679045093 1981.25
"241" 10 241 2222.5 "aI" "M" 757 1325 2403 3444 1.75033025099075 1982.25
"242" 10 242 2227.5 "aI" "M" 742 1343 2393 3474 1.8099730458221 1988
"243" 10 243 2232.5 "aI" "M" 726 1363 2381 3470 1.87741046831956 1985
"244" 10 244 2237.5 "aI" "M" 726 1376 2371 3478 1.89531680440771 1987.75
"245" 10 245 2242.5 "aI" "M" 736 1402 2375 3486 1.90489130434783 1999.75
"246" 10 246 2247.5 "aI" "M" 724 1467 2414 3489 2.02624309392265 2023.5
"247" 10 247 2252.5 "aI" "M" 688 1482 2416 3467 2.15406976744186 2013.25
"248" 10 248 2257.5 "aI" "M" 650 1512 2414 3457 2.32615384615385 2008.25
"249" 10 249 2262.5 "aI" "M" 606 1529 2410 3471 2.52310231023102 2004
"250" 10 250 2267.5 "aI" "M" 569 1559 2406 3469 2.73989455184534 2000.75
"251" 10 251 2272.5 "aI" "M" 549 1604 2391 3483 2.92167577413479 2006.75
"252" 10 252 2277.5 "aI" "M" 541 1655 2378 3452 3.05914972273567 2006.5
"253" 10 253 2282.5 "aI" "M" 527 1697 2367 3434 3.22011385199241 2006.25
"254" 10 254 2287.5 "aI" "M" 506 1744 2364 3487 3.44664031620553 2025.25
"255" 10 255 2292.5 "aI" "M" 479 1804 2380 3503 3.76617954070981 2041.5
"256" 10 256 2297.5 "aI" "M" 442 1865 2395 3520 4.21945701357466 2055.5
"257" 10 257 2302.5 "aI" "M" 411 1895 2402 3534 4.61070559610706 2060.5
"258" 10 258 2307.5 "aI" "M" 391 1895 2396 3538 4.846547314578 2055
"259" 10 259 2312.5 "aI" "M" 378 1879 2387 3539 4.97089947089947 2045.75
"260" 10 260 2317.5 "aI" "M" 367 1856 2372 3527 5.05722070844687 2030.5
"261" 10 261 2322.5 "aI" "M" 363 1819 2341 3508 5.01101928374656 2007.75
"262" 10 262 2327.5 "aI" "M" 337 1750 2214 3484 5.19287833827893 1946.25
"263" 11 263 1382.5 "aU" "M" 480 999 2365 3356 2.08125 1800
"264" 11 264 1387.5 "aU" "M" 500 990 2394 3332 1.98 1804
"265" 11 265 1392.5 "aU" "M" 521 978 2463 3318 1.87715930902111 1820
"266" 11 266 1397.5 "aU" "M" 533 978 2534 3295 1.83489681050657 1835
"267" 11 267 1402.5 "aU" "M" 543 979 2612 3284 1.80294659300184 1854.5
"268" 11 268 1407.5 "aU" "M" 548 976 2635 3271 1.78102189781022 1857.5
"269" 11 269 1412.5 "aU" "M" 557 969 2626 3265 1.73967684021544 1854.25
"270" 11 270 1417.5 "aU" "M" 560 957 2642 3276 1.70892857142857 1858.75
"271" 11 271 1422.5 "aU" "M" 561 948 2652 3286 1.68983957219251 1861.75
"272" 11 272 1427.5 "aU" "M" 560 944 2652 3287 1.68571428571429 1860.75
"273" 11 273 1432.5 "aU" "M" 560 942 2649 3288 1.68214285714286 1859.75
"274" 11 274 1437.5 "aU" "M" 560 937 2644 3287 1.67321428571429 1857
"275" 11 275 1442.5 "aU" "M" 558 932 2637 3284 1.67025089605735 1852.75
"276" 11 276 1447.5 "aU" "M" 554 920 2640 3287 1.66064981949458 1850.25
"277" 11 277 1452.5 "aU" "M" 545 901 2639 3279 1.65321100917431 1841
"278" 11 278 1457.5 "aU" "M" 530 892 2638 3271 1.68301886792453 1832.75
"279" 11 279 1462.5 "aU" "M" 532 892 2621 3281 1.67669172932331 1831.5
"280" 11 280 1467.5 "aU" "M" 548 895 2602 3281 1.63321167883212 1831.5
"281" 11 281 1472.5 "aU" "M" 317 867 2596 3339 2.73501577287066 1779.75
"282" 12 282 1967.5 "aI" "M" 497 1052 2520 3279 2.11670020120724 1837
"283" 12 283 1972.5 "aI" "M" 546 1065 2543 3295 1.95054945054945 1862.25
"284" 12 284 1977.5 "aI" "M" 579 1078 2551 3309 1.86183074265976 1879.25
"285" 12 285 1982.5 "aI" "M" 604 1095 2534 3291 1.81291390728477 1881
"286" 12 286 1987.5 "aI" "M" 617 1104 2549 3310 1.78930307941653 1895
"287" 12 287 1992.5 "aI" "M" 630 1114 2572 3333 1.76825396825397 1912.25
"288" 12 288 1997.5 "aI" "M" 648 1138 2588 3333 1.75617283950617 1926.75
"289" 12 289 2002.5 "aI" "M" 661 1172 2593 3316 1.77307110438729 1935.5
"290" 12 290 2007.5 "aI" "M" 672 1201 2583 3295 1.78720238095238 1937.75
"291" 12 291 2012.5 "aI" "M" 677 1224 2565 3271 1.80797636632201 1934.25
"292" 12 292 2017.5 "aI" "M" 682 1245 2542 3258 1.82551319648094 1931.75
"293" 12 293 2022.5 "aI" "M" 687 1268 2497 3256 1.84570596797671 1927
"294" 12 294 2027.5 "aI" "M" 701 1356 2355 3189 1.93437945791726 1900.25
"295" 12 295 2032.5 "aI" "M" 681 1434 2336 3194 2.1057268722467 1911.25
"296" 12 296 2037.5 "aI" "M" 668 1420 2399 3234 2.12574850299401 1930.25
"297" 12 297 2042.5 "aI" "M" 634 1480 2308 3177 2.33438485804416 1899.75
"298" 12 298 2047.5 "aI" "M" 615 1529 2333 3227 2.48617886178862 1926
"299" 12 299 2052.5 "aI" "M" 621 1525 2418 3296 2.45571658615137 1965
"300" 12 300 2057.5 "aI" "M" 612 1516 2483 3336 2.47712418300654 1986.75
"301" 12 301 2062.5 "aI" "M" 579 1514 2482 3363 2.61485319516408 1984.5
"302" 12 302 2067.5 "aI" "M" 532 1576 2471 3352 2.96240601503759 1982.75
"303" 12 303 2072.5 "aI" "M" 500 1617 2444 3325 3.234 1971.5
"304" 12 304 2077.5 "aI" "M" 485 1665 2437 3334 3.43298969072165 1980.25
"305" 12 305 2082.5 "aI" "M" 473 1686 2412 3367 3.56448202959831 1984.5
"306" 12 306 2087.5 "aI" "M" 441 1702 2412 3434 3.859410430839 1997.25
"307" 12 307 2092.5 "aI" "M" 405 1739 2443 3417 4.29382716049383 2001
"308" 12 308 2097.5 "aI" "M" 407 1756 2453 3205 4.31449631449631 1955.25
"309" 12 309 2102.5 "aI" "M" 397 1742 2206 2986 4.38790931989924 1832.75
"310" 12 310 2107.5 "aI" "M" 410 1628 2145 2886 3.97073170731707 1767.25
"311" 12 311 2112.5 "aI" "M" 423 1591 2134 2887 3.7612293144208 1758.75
"312" 12 312 2117.5 "aI" "M" 419 1482 2121 2873 3.53699284009547 1723.75
"313" 12 313 2122.5 "aI" "M" 398 1429 2119 2861 3.59045226130653 1701.75
"314" 12 314 2127.5 "aI" "M" 376 1414 2150 2919 3.76063829787234 1714.75
"315" 13 315 2587.5 "OY" "M" 433 1016 2139 3034 2.34642032332563 1655.5
