"sample" "diphthong" "speaker" "T1_0." "T1_10." "T1_20." "T1_30." "T1_40." "T1_50." "T1_60." "T1_70." "T1_80." "T1_90." "T1_100." "T2_0." "T2_10." "T2_20." "T2_30." "T2_40." "T2_50." "T2_60." "T2_70." "T2_80." "T2_90." "T2_100." "T3_0." "T3_10." "T3_20." "T3_30." "T3_40." "T3_50." "T3_60." "T3_70." "T3_80." "T3_90." "T3_100." "T4_0." "T4_10." "T4_20." "T4_30." "T4_40." "T4_50." "T4_60." "T4_70." "T4_80." "T4_90." "T4_100."
"14" 14 "aI" "M" 466 557.033898305085 628.796610169491 662.898305084746 671.067796610169 647.491525423729 604.406779661017 564.474576271186 513.322033898305 470.508474576271 441 1477 1516.64406779661 1510.66101694915 1539.33898305085 1561.93220338983 1572.06779661017 1602.57627118644 1717.76271186441 1728.54237288136 1693.98305084746 1665 2518 2484.77966101695 2453.61016949153 2469.03389830508 2474.71186440678 2476.96610169492 2511.77966101695 2492.79661016949 2429.86440677966 2388.08474576271 2338 3487 3396.45762711864 3413.42372881356 3382.10169491525 3325.86440677966 3389.54237288136 3461.57627118644 3474 3509.98305084746 3562.94915254237 3580
"15" 15 "aI" "M" 530 631.28813559322 660.576271186441 683.949152542373 689 675.338983050847 625.508474576271 562.067796610169 455.271186440678 402.474576271186 308 1295 1341.01694915254 1328.03389830508 1319.08474576271 1352.8813559322 1424.01694915254 1553.98305084746 1701.89830508475 1797.77966101695 1795.91525423729 1630 2509 2606 2621.06779661017 2541.72881355932 2502 2485.13559322034 2492.06779661017 2469.47457627119 2431.30508474576 2449.15254237288 2283 3351 3677.83794475574 3736.84745762712 3115.99952435643 3315.59322033898 3299.57627118644 3323.83050847458 3304.30508474576 3272.03389830508 3422.01694915254 3412
"16" 16 "aI" "M" 522 630.898305084746 696.389830508475 712.338983050847 701.457627118644 662.64406779661 629.237288135593 559.050847457627 502.813559322034 449.389830508475 406 1137 1144.32203389831 1190.25423728814 1237.5593220339 1298.35593220339 1363.16949152542 1499.45762711864 1653.22033898305 1798.30508474576 1941.8813559322 1920 2477 2505.27118644068 2532.86440677966 2487.16949152542 2426.25423728814 2346.77966101695 2337.89830508475 2336.01694915254 2326.52542372881 2349.62711864407 2350 3286 3312.84745762712 3264.96610169492 3102.47457627119 3134.71186440678 3219.18644067797 3398.50847457627 3329.16949152542 3184.27118644068 3150.83050847458 3416
"17" 17 "aI" "M" 789 701.694915254237 678.372881355932 649.237288135593 575.406779661017 538.627118644068 517.237288135593 478.406779661017 410.101694915254 376.305084745763 305 1494 1463.77966101695 1503.06779661017 1583.79661016949 1633.30508474576 1722.23728813559 1808.30508474576 1855.57627118644 1864.86440677966 1839.01694915254 1806 2289 2242.38983050847 2242.30508474576 2253.96610169492 2262.35593220339 2250.22033898305 2281.57627118644 2318.13559322034 2356.37288135593 2346.83050847458 2302 3309 3387.10169491525 3405.91525423729 3371.16949152542 3295 3038.77966101695 3006.57627118644 2786.06779661017 3584.4406779661 3599.84745762712 3611
"18" 18 "aI" "M" 377 482.830508474576 547.525423728814 586.35593220339 615.830508474576 629.694915254237 618.169491525424 574.152542372881 538.983050847458 522.305084745763 490 1265 1297.10169491525 1296.69491525424 1317.23728813559 1373.47457627119 1395.67796610169 1418.76271186441 1487.10169491525 1539.52542372881 1547.67796610169 1527 2642 2638.79661016949 2603.86440677966 2501.96610169492 2498.10169491525 2492.61016949153 2508.77966101695 2531.32203389831 2535.35593220339 2533.10169491525 2519 3653 3507.98305084746 3516.32203389831 3480.57627118644 3474.06779661017 3452.23728813559 3460.77966101695 3460.54237288136 3420.1186440678 3385.49152542373 3291
"19" 19 "aU" "M" 718 722.64406779661 662.627118644068 637.406779661017 575.35593220339 521.593220338983 490.084745762712 464.915254237288 448.694915254237 428.847457627119 293 1297 1223.74576271186 1145.33898305085 1090.42372881356 977.254237288136 898.864406779661 823.898305084746 829.593220338983 874.796610169491 982.898305084746 1094 2495 2584.08474576271 2719.32203389831 2755.23728813559 2809.08474576271 2909.84745762712 2864.32203389831 2620.83050847458 2390.81355932203 2779.74576271186 2628 3538 3550.33898305085 3535.4406779661 3562.98305084746 3359.30508474576 3393.22033898305 2918.91525423729 3170.67796610169 2897.23728813559 3385.47457627119 3523
"20" 20 "aU" "M" 560 582.067796610169 602.847457627119 599.423728813559 597.694915254237 591.237288135593 576.254237288136 540.661016949153 492.101694915254 452.237288135593 423 1059 1052.27118644068 1041.64406779661 1032.69491525424 1028.10169491525 1028.37288135593 1013.79661016949 979.050847457627 949.35593220339 904.745762711864 885 2466 2459.42372881356 2474.16949152542 2498.8813559322 2500.89830508475 2505.64406779661 2523.54237288136 2464.72881355932 2431.10169491525 2465.20338983051 2464 3010 3014.15254237288 3019.28813559322 3085.62711864407 3135.42372881356 3148.62711864407 3140.5593220339 3109.37288135593 3059.01694915254 3060.08474576271 3048
"21" 21 "aI" "M" 516 569.627118644068 597.610169491525 608.966101694915 612.033898305085 597.474576271186 579.169491525424 553.237288135593 523.830508474576 445.711864406779 281 1079 1210 1296.15254237288 1325.32203389831 1382.69491525424 1414.37288135593 1433.79661016949 1472.52542372881 1516.94915254237 1504.81355932203 1381 1910 2035.4406779661 2341.18644067797 2336.54237288136 2330.25423728814 2367.91525423729 2378.89830508475 2401.52542372881 2451.77966101695 2451.79661016949 2051 2740 2696.23728813559 3191.35593220339 3494.40677966102 3522.1186440678 3550.4406779661 3581.69491525424 3619.59322033898 3672 3669.30508474576 2422
"22" 22 "OY" "M" 373 481.305084745763 502 504 508.508474576271 515.423728813559 511.508474576271 506.627118644068 476.983050847458 449.661016949153 398 1099 1064.15254237288 987.203389830509 950.372881355932 959.35593220339 1009.33898305085 1087.32203389831 1155.06779661017 1220.23728813559 1331.72881355932 1370 2024 2427.01694915254 2893.4406779661 2527.8813559322 2504.32203389831 2459.76271186441 2396.64406779661 2348.23728813559 2314.33898305085 2318.77966101695 2364 2926 3073.18644067797 3236.42372881356 2908.71186440678 2924.57627118644 2960.38983050847 2977.47457627119 2954.83050847458 2915.5593220339 2822.8813559322 3358
"23" 23 "aI" "M" 444 496.101694915254 543.203389830509 568.457627118644 570.677966101695 566.389830508475 558.084745762712 541.864406779661 518.338983050847 466.067796610169 380 1076 1138.38983050847 1188.5593220339 1242.18644067797 1287.83050847458 1318.66101694915 1373.40677966102 1416.83050847458 1446.8813559322 1470.62711864407 1441 2292 2291.49152542373 2306.28813559322 2331.84745762712 2353.77966101695 2337.84745762712 2332.08474576271 2320.93220338983 2351.16949152542 2398.69491525424 2397 3295 3254.67796610169 3255.94915254237 3268.96610169492 3271 3278.83050847458 3296.86440677966 3312.69491525424 3247.77966101695 3836.22033898305 3801
"24" 24 "aI" "M" 555 602.847457627119 641.067796610169 672.28813559322 677.661016949153 661.932203389831 628.728813559322 577.372881355932 533.474576271186 496.271186440678 246 1488 1425.47457627119 1356.38983050847 1366.13559322034 1407.67796610169 1448.59322033898 1495.71186440678 1535.08474576271 1552.57627118644 1487.83050847458 1451 2116 2121.57627118644 2097.47457627119 2181.79661016949 2242.81355932203 2282.38983050847 2343.16949152542 2392.03389830508 2341.1186440678 2275.10169491525 2342 3347.97193702943 3273.25423728814 3139.42372881356 3185.98305084746 3268.91525423729 3350.30508474576 3435.28813559322 3408.27118644068 3113.16949152542 3090.74576271186 3187
"25" 25 "aI" "M" 474 499.220338983051 500 498.677966101695 499.762711864407 505.389830508475 496.457627118644 485.203389830508 472.084745762712 443.440677966102 385 1229 1315.66101694915 1380.74576271186 1408.61016949153 1430.50847457627 1479.16949152542 1516.96610169492 1516.28813559322 1503.32203389831 1465.59322033898 1378 2529 2539.69491525424 2512.57627118644 2494.32203389831 2495.8813559322 2472.81355932203 2482.57627118644 2483.1186440678 2469.84745762712 2455.20338983051 2409 3237 3332 3396.06779661017 3436.84745762712 3455.69491525424 3447.4406779661 3399.25423728814 3339.59322033898 3305.27118644068 3359.98305084746 3429
"26" 26 "aI" "M" 440 460.338983050847 480 481.016949152542 500 507.033898305085 583 579.559322033898 548.033898305085 496.271186440678 420 1620 1619.66101694915 1599.32203389831 1581.16949152542 1600.08474576271 1560 1557.96610169492 1537.62711864407 1520 1520 1520 2098 2194.94915254237 2193.76271186441 2246.49152542373 2294.83050847458 2320.67796610169 2326.77966101695 2308.16949152542 2244.16949152542 2201.35593220339 2170 3024 3332.98305084746 3388.81355932203 3354.69491525424 3344.93220338983 3279.59322033898 3168.54237288136 3096.74576271186 3196.33898305085 3289.49152542373 3370
"27" 27 "aI" "M" 534 582.966101694915 607.864406779661 623.101694915254 606.322033898305 580.898305084746 543.627118644068 479.610169491525 436.71186440678 437.864406779661 384 1232 1202.40677966102 1202.13559322034 1213.38983050847 1233.18644067797 1296.25423728814 1379.15254237288 1525.64406779661 1632.37288135593 1732.28813559322 1740 2236 2275.37288135593 2305.20338983051 2331.38983050847 2343.94915254237 2320 2293.20338983051 2384.23728813559 2329.86440677966 2337.52542372881 2366 3314 3241.94915254237 3247.86440677966 3344.06779661017 3385.40677966102 3445.54237288136 3457.45762711864 3360.32203389831 3341.40677966102 3373.67796610169 3436
"28" 28 "aU" "M" 468 499.983050847458 520.762711864407 539.610169491525 544.796610169491 544.254237288136 539.169491525424 515.440677966102 505.423728813559 502.254237288136 800 976 993.050847457627 984.542372881356 968.508474576271 948.576271186441 924.71186440678 904.694915254237 903.677966101695 894.135593220339 856.406779661017 1002.33394495413 2529 2495.93220338983 2554.91525423729 2564.50847457627 2564.22033898305 2601.96610169492 2593.71186440678 2576.93220338983 2557.38983050847 2548.4406779661 2532 3285 3243.30508474576 3306.74576271186 3061.1186440678 2932.67796610169 3281.96610169492 3261.84745762712 3254.89830508475 3232.57627118644 3223.35593220339 3231
"29" 29 "OY" "M" 641 596.203389830509 601.457627118644 588.305084745763 586.864406779661 583.796610169491 552.322033898305 498.254237288136 462.203389830509 429.813559322034 397 1020 1031.54237288136 1070.76271186441 1125.66101694915 1199.28813559322 1275.06779661017 1335.69491525424 1546.84745762712 1636.22033898305 1709.84745762712 1725 2445 2428.28813559322 2380.71186440678 2351.15254237288 2307.71186440678 2263.79661016949 2219.33898305085 2238.94915254237 2334.61016949153 2378.15254237288 2446 3098 3077.13559322034 3078.76271186441 3136.62711864407 3172.98305084746 3194.16949152542 3206.81355932203 3175.81355932203 3234.05084745763 3266.13559322034 3308
"30" 30 "aU" "M" 494 515.898305084746 527.016949152542 530.881355932203 522.949152542373 510.64406779661 493.610169491525 471.322033898305 443.677966101695 426.28813559322 378 976 955.101694915254 947 944.35593220339 952.542372881356 962.813559322034 974.864406779661 993.627118644068 1026.40677966102 1073.83050847458 1049 2743 2806.15254237288 2825.81355932203 2848.45762711864 2830.84745762712 2788.35593220339 2703.18644067797 2468.84745762712 2353.35593220339 2388.81355932203 2589 3315 3311.1186440678 3319.28813559322 3327.76271186441 3327.54237288136 3329.35593220339 3069.52542372881 3220.69491525424 3330.64406779661 3406.64406779661 3591
"31" 31 "aI" "M" 526 579.847457627119 615.457627118644 663.694915254237 715.016949152542 706.186440677966 686.271186440678 623.762711864407 543.406779661017 495.169491525424 471 1037 1076.40677966102 1150.01694915254 1195.08474576271 1293.71186440678 1349.23728813559 1387.74576271186 1475.76271186441 1495.15254237288 1463.71186440678 1422 2444 2445.84745762712 2437.54237288136 2385.33898305085 2385.10169491525 2411.30508474576 2378.81355932203 2382.89830508475 2357.69491525424 2323.01694915254 2257 3241 3277.94915254237 3261.76271186441 3350.33898305085 3438.69491525424 3410.52542372881 3372 3418.30508474576 3395.84745762712 3343.74576271186 3146
"32" 32 "aI" "M" 417 499.474576271186 582.762711864407 634.847457627119 627.406779661017 610.966101694915 593.237288135593 563.813559322034 520.050847457627 467.966101694915 395 1451 1442.96610169492 1425.27118644068 1434.22033898305 1439.79661016949 1498.8813559322 1548.22033898305 1590.23728813559 1617.25423728814 1600.93220338983 1559 2418 2400.69491525424 2338.03389830508 2300.96610169492 2311.93220338983 2344.74576271186 2358.8813559322 2366.84745762712 2366.89830508475 2334.45762711864 2286 3744 3730.28813559322 3614.83050847458 3841.28813559322 3728.01694915254 3412.79661016949 3511.76271186441 3501.18644067797 3435.93220338983 3438.96610169492 3497
"33" 33 "OY" "M" 448 506.830508474576 537.389830508475 549 551.28813559322 539.135593220339 519.525423728814 450.728813559322 325.508474576271 162.237288135593 151 1134 1185.35593220339 1172.89830508475 1166.1186440678 1194.76271186441 1249.45762711864 1348.45762711864 1477.72881355932 1713.8813559322 1742.38983050847 1703 1843 1941.57627118644 2069.86440677966 1988.28813559322 2026.5593220339 2087.83050847458 2153 2307.20338983051 2315.91525423729 2307.13559322034 2452 3186 2958.40677966102 2965.93220338983 2951.15254237288 3062.42372881356 3156.18644067797 3088.83050847458 3221.66101694915 3380.03389830508 3508.89830508475 3511
"34" 34 "aI" "M" 500 535.932203389831 544 549.35593220339 558.559322033898 569 563.576271186441 541.610169491525 510.813559322034 475.220338983051 407 1544 1508.71186440678 1488.61016949153 1479.64406779661 1474.61016949153 1481.89830508475 1505.76271186441 1529.45762711864 1539.77966101695 1531.23728813559 1488 2508 2437.22033898305 2342.30508474576 2272.45762711864 2277.25423728814 2302.79661016949 2352.69491525424 2402.8813559322 2429.45762711864 2441.25423728814 2414 3347.97193702943 3228.06857388137 3076.01694915254 3212.30508474576 3285.08474576271 3271.94915254237 3294.18644067797 3337.91525423729 3377.86440677966 3426.47457627119 3452
"35" 35 "aI" "M" 480 591.016949152542 624.593220338983 627.406779661017 631.186440677966 615.474576271186 596.932203389831 566.864406779661 528.949152542373 477.898305084746 450 1165 1204.98305084746 1240.33898305085 1265.84745762712 1314.62711864407 1341.05084745763 1393.30508474576 1433.79661016949 1469.89830508475 1488.49152542373 1521 2438 2441.06779661017 2438.47457627119 2435.15254237288 2389.05084745763 2379.47457627119 2378.01694915254 2347.86440677966 2337.62711864407 2352.15254237288 2287 3203 3108.47457627119 3270.71186440678 3320.81355932203 3310.62711864407 3310.83050847458 3316.22033898305 3269.42372881356 3161.35593220339 3167.83050847458 3160
"36" 36 "aI" "M" 443 506.101694915254 569.525423728814 589.186440677966 594.71186440678 590.966101694915 585.559322033898 573.305084745763 571.576271186441 531.525423728814 449 1463 1441.96610169492 1422.54237288136 1420.5593220339 1425.05084745763 1450.42372881356 1495.66101694915 1618.03389830508 1677.22033898305 1770.96610169492 1769 2467 2537.79661016949 2452.71186440678 2324.33898305085 2302.37288135593 2313.10169491525 2344.08474576271 2386.49152542373 2388.66101694915 2410.32203389831 2397 3372 3467.93220338983 3497.61016949153 3561.93220338983 3517.93220338983 3407.30508474576 3474 3530.35593220339 3713.61016949153 3597.86440677966 3591
"37" 37 "aI" "M" 599 616.237288135593 629.271186440678 633.898305084746 623.508474576271 597.610169491525 544.881355932203 481.779661016949 446.28813559322 435.084745762712 425 1354 1331.79661016949 1328.33898305085 1347.93220338983 1400.23728813559 1509.79661016949 1582.28813559322 1666.42372881356 1771.37288135593 1935.91525423729 1969 1934 2018.38983050847 2100.16949152542 2162.94915254237 2244.08474576271 2354.25423728814 2421.52542372881 2465.33898305085 2447.27118644068 2461.13559322034 2412 3803 3779.42372881356 3764.22033898305 3809.32203389831 3732.08474576271 3400.37288135593 3376.8813559322 3407.23728813559 3392.74576271186 3351.30508474576 3093
"38" 38 "aI" "M" 685 715.254237288136 678.677966101695 658.949152542373 609.389830508475 520.152542372881 481.406779661017 446.983050847458 428.864406779661 410.050847457627 382 1476 1525.42372881356 1492.67796610169 1515.25423728814 1570.74576271186 1643.4406779661 1724.49152542373 1753.59322033898 1779.59322033898 1731.52542372881 1668 2232 2240.59322033898 2172.72881355932 2219.23728813559 2262.81355932203 2355.13559322034 2441.32203389831 2492.96610169492 2509.79661016949 2490.27118644068 2455 3513 3481.81355932203 3369.71186440678 3187.06779661017 3141.22033898305 3489.4406779661 3495.08474576271 3546.64406779661 3592.93220338983 3665.67796610169 3758
"39" 39 "aI" "M" 510 535.101694915254 539.881355932203 541.661016949153 543.762711864407 547 544.745762711864 535.661016949153 526.661016949153 503.372881355932 417 1160 1240.74576271186 1312.33898305085 1332.62711864407 1348.22033898305 1386.54237288136 1414.15254237288 1426.62711864407 1414.27118644068 1367.72881355932 1324 2001 1983.86440677966 2054.54237288136 2060.4406779661 2087.49152542373 2322.71186440678 2328.03389830508 2329.79661016949 2320.79661016949 2259.98305084746 2225 3258 3034.71186440678 3394.57627118644 3416.59322033898 2700.05084745763 3431.30508474576 3434.64406779661 3438.71186440678 3457.01694915254 3509.18644067797 3525
"40" 40 "aI" "M" 500 577.186440677966 661.474576271186 687.372881355932 676.338983050847 647.830508474576 594.338983050847 509.915254237288 448.067796610169 422.28813559322 398 1370 1336.37288135593 1347.08474576271 1356.98305084746 1402.4406779661 1538.50847457627 1608.66101694915 1730.81355932203 1785.13559322034 1835.93220338983 1781 2212 2230.40677966102 2236.10169491525 2161.77966101695 2144.45762711864 2295.69491525424 2373.18644067797 2463.76271186441 2455.89830508475 2387.94915254237 2314 2994 3098.93220338983 3244.64406779661 3442.5593220339 3329.35593220339 3225.1186440678 3187.5593220339 3222.54237288136 3353.25423728814 3314.61016949153 3077
"41" 41 "aU" "M" 501 548.067796610169 557.677966101695 556.949152542373 559.28813559322 555.305084745763 546.694915254237 531.016949152542 519.016949152542 469.135593220339 477 1018 1011 998.254237288136 975.898305084746 974.64406779661 967.915254237288 963.796610169491 945.016949152542 933.881355932203 909.813559322034 926 2377 2501.15254237288 2548.49152542373 2573.94915254237 2561.22033898305 2562.83050847458 2544.96610169492 2565.72881355932 2559.30508474576 2543.01694915254 2572 2889 3268.23728813559 3319.20338983051 3392.16949152542 3363.93220338983 3373.72881355932 3273.83050847458 3327.91525423729 3307.15254237288 3226.81355932203 3238
"42" 42 "aI" "M" 562 671.372881355932 712.28813559322 704.525423728814 698.220338983051 675.983050847458 619.932203389831 562.118644067797 491.762711864407 453.830508474576 433 1172 1217.23728813559 1257.57627118644 1283.23728813559 1342.10169491525 1452.06779661017 1564.01694915254 1721.86440677966 1836.67796610169 1830.69491525424 1736 2535 2531.30508474576 2507.05084745763 2445.76271186441 2420.42372881356 2372.01694915254 2374.69491525424 2370.93220338983 2413.89830508475 2290.84745762712 2376 3400 3440.45762711864 3385.18644067797 3375.81355932203 3416.57627118644 3195.45762711864 3204.94915254237 3074.74576271186 3323.77966101695 3034.98305084746 3407
"43" 43 "aI" "M" 478 568.305084745763 597.152542372881 639.542372881356 647.542372881356 630.728813559322 604.508474576271 580.796610169491 560.677966101695 498.627118644068 432 1407 1426.79661016949 1403.4406779661 1406.76271186441 1443.57627118644 1477.57627118644 1503.30508474576 1553.38983050847 1591.62711864407 1542.93220338983 1452 2378 2334.01694915254 2349 2378.10169491525 1928.91525423729 2419.66101694915 2411.45762711864 2425.71186440678 2397.59322033898 2395.5593220339 2301 3707 3712.96610169492 3615.52542372881 3620.18644067797 2417.74576271186 3630.23728813559 3657.52542372881 3694.86440677966 2788.1186440678 2992.28813559322 2660
