"sample" "diphtong" "speaker" "duration" "T1_min" "T2_min" "T1_max" "T2_max" "T1_first" "T2_first" "T1_last" "T2_last"
"39" 39 "aI" "M" 60 417 1160 547 1428 510 1160 510 1160
"40" 40 "aI" "M" 170 398 1335 688 1839 500 1370 500 1370
"41" 41 "aU" "M" 115 453 909 560 1018 501 1018 501 1018
"42" 42 "aI" "M" 145 433 1172 715 1852 562 1172 562 1172
"43" 43 "aI" "M" 95 432 1398 649 1593 478 1407 478 1407
"44" 44 "OY" "M" 155 366 959 533 1472 465 959 465 959
"45" 45 "aI" "M" 115 176 1328 692 1822 609 1396 609 1396
"46" 46 "aI" "M" 95 394 1130 597 1598 515 1130 515 1130
"47" 47 "aU" "M" 105 415 934 574 1089 462 1089 462 1089
"48" 48 "aI" "M" 145 213 1289 723 1798 529 1351 529 1351
"49" 49 "aI" "M" 100 458 1477 657 1721 458 1525 458 1525
"50" 50 "aI" "M" 185 339 1279 708 1835 539 1342 539 1342
"51" 51 "aI" "M" 155 415 1190 691 1879 656 1237 656 1237
"52" 52 "aU" "M" 140 475 813 683 1099 680 1059 680 1059
"53" 53 "aI" "M" 90 428 1471 624 1735 506 1526 506 1526
"54" 54 "aU" "M" 95 256 1030 679 1134 679 1106 679 1106
"55" 55 "aI" "M" 175 377 1235 619 1769 539 1313 539 1313
"56" 56 "aI" "M" 105 320 1126 636 1533 553 1126 553 1126
"57" 57 "aI" "M" 110 417 1196 655 1576 561 1196 561 1196
"58" 58 "aI" "M" 125 415 1388 667 1873 491 1545 491 1545
"59" 59 "OY" "M" 220 284 1061 575 1571 462 1320 462 1320
"60" 60 "aI" "M" 90 425 1079 624 1629 542 1079 542 1079
"61" 61 "aI" "M" 120 501 1104 656 1665 501 1104 501 1104
"62" 62 "aU" "M" 150 225 825 749 1143 749 1143 749 1143
"63" 63 "aU" "M" 110 201 899 536 1055 478 1039 478 1039
"64" 64 "aI" "M" 65 453 1105 574 1585 479 1105 479 1105
"65" 65 "aU" "M" 140 316 991 580 1355 459 1355 459 1355
"66" 66 "aU" "M" 150 250 933 673 1203 569 1136 569 1136
"67" 67 "aI" "M" 140 207 992 610 1565 467 992 467 992
"68" 68 "aI" "M" 90 415 1411 582 1654 476 1439 476 1439
"69" 69 "aI" "M" 120 369 1382 728 1616 512 1382 512 1382
"70" 70 "aI" "M" 200 335 1187 681 1595 522 1187 522 1187
"71" 71 "aI" "M" 110 170 1314 623 2048 531 1314 531 1314
"72" 72 "aI" "M" 165 267 1286 713 1985 542 1318 542 1318
"73" 73 "OY" "M" 160 375 1037 708 1305 450 1305 450 1305
"74" 74 "aU" "M" 135 323 882 647 1092 647 1092 647 1092
"75" 75 "aI" "M" 115 409 1436 767 1828 685 1483 685 1483
"76" 76 "aU" "M" 115 356 818 590 1069 484 1069 484 1069
"77" 77 "OY" "M" 125 156 1124 601 1843 438 1211 438 1211
"78" 78 "aI" "M" 60 423 1486 646 1799 632 1499 632 1499
"79" 79 "aU" "M" 135 364 989 612 1110 466 1100 466 1100
"80" 80 "aU" "M" 125 272 923 642 1113 642 1095 642 1095
"81" 81 "aI" "M" 140 246 1242 694 1970 484 1396 484 1396
"82" 82 "aI" "M" 95 410 1374 576 1792 487 1374 487 1374
"83" 83 "aI" "M" 115 419 1188 733 1686 707 1188 707 1188
"84" 84 "OY" "M" 70 422 1016 512 1414 460 1016 460 1016
"85" 85 "aI" "M" 105 215 1341 680 2083 579 1341 579 1341
"86" 86 "aI" "M" 200 227 1160 781 2118 606 1160 606 1160
"87" 87 "OY" "M" 125 326 1101 618 1337 452 1135 452 1135
"88" 88 "aU" "M" 75 331 997 699 1149 656 1103 656 1103
"89" 89 "aI" "M" 95 404 1303 659 1582 508 1328 508 1328
"90" 90 "aU" "M" 170 368 708 607 1231 493 1231 493 1231
"91" 91 "aI" "M" 185 408 1115 642 1499 504 1160 504 1160
"92" 92 "aI" "M" 85 429 1371 613 1595 540 1371 540 1371
"93" 93 "aU" "M" 150 354 589 661 1129 550 1057 550 1057
"94" 94 "aI" "F" 225 242 1457 936 2354 596 1569 596 1569
"95" 95 "aI" "F" 190 251 1259 820 2166 485 1344 485 1344
"96" 96 "aI" "F" 180 244 1260 660 2275 366 1260 366 1260
"97" 97 "aU" "F" 155 323 857 686 1570 475 1547 475 1547
"98" 98 "aI" "F" 210 304 1580 757 2278 720 1580 720 1580
"99" 99 "aI" "F" 180 344 1658 796 2285 565 1868 565 1868
"100" 100 "aU" "F" 180 240 1039 501 1567 340 1518 340 1518
"101" 101 "OY" "F" 160 271 946 492 2243 271 1271 271 1271
"102" 102 "OY" "F" 175 276 1080 482 2346 306 1089 306 1089
"103" 103 "aI" "F" 105 254 1701 896 2573 641 1701 641 1701
"104" 104 "aU" "F" 110 276 961 821 1431 642 1352 642 1352
"105" 105 "aI" "F" 210 356 1420 792 2700 600 1420 600 1420
"106" 106 "OY" "F" 155 262 1044 406 1612 406 1369 406 1369
"107" 107 "aI" "F" 130 281 1710 644 2276 492 1710 492 1710
"108" 108 "aI" "F" 195 326 1474 866 2238 625 1577 625 1577
"109" 109 "aI" "F" 245 256 1360 860 2298 395 1360 395 1360
"110" 110 "aI" "F" 160 320 1840 740 2553 580 1840 580 1840
"111" 111 "aI" "F" 140 332 1469 940 2041 332 1469 332 1469
"112" 112 "aU" "F" 170 190 954 608 1813 395 1278 395 1278
"113" 113 "aU" "F" 90 353 680 523 1014 400 940 400 940
"114" 114 "aI" "F" 105 295 1280 880 2140 560 1280 560 1280
"115" 115 "OY" "F" 120 312 1102 497 1951 391 1323 391 1323
"116" 116 "aI" "F" 135 339 1024 719 2513 498 1166 498 1166
"117" 117 "aI" "F" 175 321 1279 837 2194 522 1360 522 1360
"118" 118 "aI" "F" 110 780 1280 900 2260 900 1280 900 1280
"119" 119 "aI" "F" 120 324 1620 1060 2335 1060 1620 1060 1620
"120" 120 "aI" "F" 280 198 1169 804 2601 500 1240 500 1240
"121" 121 "aU" "F" 145 249 790 889 1384 410 1248 410 1248
"122" 122 "OY" "F" 195 278 807 515 2644 317 1053 317 1053
"123" 123 "aU" "F" 150 275 1106 617 1759 568 1293 568 1293
"124" 124 "aI" "F" 170 251 1120 820 2360 700 1220 700 1220
"125" 125 "aI" "F" 105 265 1408 723 2019 538 1757 538 1757
"126" 126 "OY" "F" 175 238 1196 557 2460 388 1411 388 1411
"127" 127 "aI" "F" 145 291 1666 815 2285 532 1666 532 1666
"128" 128 "aI" "F" 170 226 1700 865 2480 592 1700 592 1700
"129" 129 "aI" "F" 145 319 1519 788 2181 430 1519 430 1519
"130" 130 "aI" "F" 155 257 1213 875 2231 548 1288 548 1288
"131" 131 "aI" "F" 195 356 1460 880 2410 420 1460 420 1460
"132" 132 "aI" "F" 120 292 1054 877 2500 292 1071 292 1071
"133" 133 "aI" "F" 170 390 1400 1012 2468 535 1400 535 1400
"134" 134 "aU" "F" 135 271 826 710 1193 501 1132 501 1132
"135" 135 "aI" "F" 200 457 1120 889 2363 627 1316 627 1316
"136" 136 "aI" "F" 130 306 1358 833 2223 579 1612 579 1612
"137" 137 "OY" "F" 175 275 976 587 2159 405 976 405 976
"138" 138 "aI" "F" 170 274 1760 980 2220 780 1760 780 1760
"139" 139 "aI" "F" 100 336 1128 623 2235 508 1302 508 1302
"140" 140 "aU" "F" 170 320 1040 700 1180 520 1180 520 1180
"141" 141 "aI" "F" 170 283 1242 867 2340 614 1353 614 1353
"142" 142 "aI" "F" 155 288 1513 872 2490 501 1646 501 1646
"143" 143 "aI" "F" 230 294 1271 981 2377 605 1271 605 1271
"144" 144 "aI" "F" 140 320 1532 950 2287 950 1558 950 1558
"145" 145 "aU" "F" 170 327 866 520 1460 500 1460 500 1460
"146" 146 "aI" "F" 155 312 1524 838 2426 482 1592 482 1592
"147" 147 "aU" "F" 160 280 876 680 1648 600 1235 600 1235
"148" 148 "aI" "F" 245 253 1440 1020 2243 1020 1520 1020 1520
"149" 149 "aI" "F" 155 471 1300 925 2400 589 1300 589 1300
"150" 150 "aI" "F" 175 333 1372 921 2273 815 1372 815 1372
"151" 151 "aI" "F" 145 287 1660 894 2297 560 1660 560 1660
"152" 152 "OY" "F" 250 322 1076 651 2175 431 1461 431 1461
"153" 153 "aI" "F" 120 442 1034 867 2276 563 1038 563 1038
"154" 154 "aI" "F" 160 220 1260 913 2549 515 1260 515 1260
"155" 155 "aU" "F" 200 323 994 637 1914 539 995 539 995
"156" 156 "aU" "F" 140 271 791 764 1251 560 1191 560 1191
"157" 157 "aI" "F" 110 381 1259 896 2193 776 1259 776 1259
"158" 158 "aU" "F" 110 296 804 808 1389 638 1389 638 1389
"159" 159 "aU" "F" 195 288 996 836 1785 715 1291 715 1291
"160" 160 "aI" "F" 230 301 1300 1060 2318 478 1300 478 1300
"161" 161 "aI" "F" 105 254 1960 849 2376 776 1960 776 1960
"162" 162 "aI" "F" 180 425 1518 902 2393 687 2001 687 2001
"163" 163 "aI" "F" 220 337 1375 840 2220 663 1560 663 1560
"164" 164 "aI" "F" 200 299 1700 910 2684 631 1700 631 1700
"165" 165 "aI" "F" 185 281 1380 909 2640 670 1380 670 1380
"166" 166 "OY" "F" 185 415 1084 664 2020 567 1096 567 1096
"167" 167 "aU" "F" 170 313 1009 595 1371 480 1242 480 1242
"168" 168 "aI" "F" 190 280 1440 970 2365 740 1440 740 1440
"169" 169 "aU" "F" 135 244 738 863 1284 659 1258 659 1258
"170" 170 "OY" "F" 175 252 1078 556 2360 425 1336 425 1336
"171" 171 "aI" "F" 125 294 1564 930 2403 830 1564 830 1564
"172" 172 "aU" "F" 180 335 905 715 1526 588 1283 588 1283
"173" 173 "aU" "F" 150 340 885 842 1753 828 1383 828 1383
"174" 174 "aI" "F" 165 315 1314 879 2583 449 1681 449 1681
"175" 175 "aI" "F" 130 373 1648 837 2252 517 1648 517 1648
"176" 176 "aI" "F" 145 283 1593 1019 2464 931 1593 931 1593
"177" 177 "OY" "F" 160 250 917 505 2099 250 917 250 917
"178" 178 "aI" "F" 180 293 1287 898 2784 551 1458 551 1458
"179" 179 "aI" "F" 160 411 1260 898 2368 636 1260 636 1260
"180" 180 "OY" "F" 165 338 1000 545 1774 464 1502 464 1502
"181" 181 "aU" "F" 115 296 910 748 1528 744 1328 744 1328
"182" 182 "aI" "F" 125 282 1561 926 2331 522 1561 522 1561
"183" 183 "aU" "F" 210 359 907 700 1318 536 1267 536 1267
"184" 184 "aI" "F" 165 353 1226 844 2245 555 1364 555 1364
"185" 185 "aI" "F" 130 372 1483 906 2325 514 1638 514 1638
"186" 186 "aU" "F" 230 300 933 917 1584 300 1009 300 1009
